date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-11-27,10.6,10.6,9.63,9.63,274978.38,-1.07,-10.0,9.952,9.5,9.258,270899.59,230543.45,224405.45
2015-11-26,10.38,11.0,10.7,10.14,297964.78,0.6,5.94,9.836,9.462,9.221,245659.5,229260.94,229433.15
2015-11-25,9.95,10.2,10.1,9.81,218086.36,0.05,0.5,9.52,9.348,9.129,211056.83,224826.39,235464.35
2015-11-24,9.33,10.21,10.05,9.2,380216.97,0.77,8.3,9.3,9.254,9.044,194718.36,221793.24,251138.32
2015-11-23,9.08,9.4,9.28,9.06,183251.47,0.23,2.54,9.084,9.166,8.932,166866.71,204226.71,241682.88
2015-11-20,9.06,9.18,9.05,8.97,148777.94,-0.07,-0.77,9.048,9.147,8.866,190187.3,212993.06,243496.54
2015-11-19,9.0,9.25,9.12,8.9,124951.42,0.12,1.33,9.088,9.141,8.808,212862.37,215621.66,247731.85
2015-11-18,8.91,9.05,9.0,8.77,136393.98,0.03,0.33,9.176,9.107,8.735,238595.94,222367.77,250569.48
2015-11-17,9.13,9.37,8.97,8.92,240958.72,-0.13,-1.43,9.208,9.099,8.658,248868.13,227459.81,258979.32
2015-11-16,9.18,9.18,9.1,8.66,299854.44,-0.15,-1.62,9.248,9.048,8.613,241586.72,223103.12,256793.18
2015-11-13,9.5,9.87,9.25,9.22,262153.28,-0.31,-3.24,9.246,9.016,8.56,235798.82,218267.45,254921.19
2015-11-12,9.3,9.85,9.56,9.16,253619.3,0.4,4.37,9.194,8.98,8.49,218380.94,229605.36,251501.56
2015-11-11,9.15,9.17,9.16,8.9,187754.89,-0.01,-0.11,9.038,8.909,8.401,206139.59,246102.32,249178.96
2015-11-10,9.04,9.28,9.17,8.93,204551.69,0.08,0.88,8.99,8.834,8.318,206051.5,280483.4,249762.21
2015-11-09,8.9,9.35,9.09,8.8,270914.94,0.1,1.11,8.848,8.697,8.251,204619.53,279139.05,250583.18
2015-11-06,8.77,9.09,8.99,8.68,175063.89,0.21,2.39,8.786,8.585,8.19,200736.09,274000.02,260146.44
2015-11-05,8.92,9.14,8.78,8.7,192412.52,-0.14,-1.57,8.766,8.474,8.114,240829.77,279842.04,256254.49
2015-11-04,8.46,9.02,8.92,8.4,187314.47,0.46,5.44,8.78,8.362,8.052,286065.04,278771.19,252625.39
2015-11-03,8.78,9.0,8.46,8.3,197391.81,-0.32,-3.65,8.678,8.217,7.975,354915.3,290498.83,243525.43
2015-11-02,8.69,9.24,8.78,8.48,251497.75,-0.11,-1.24,8.546,8.178,7.912,353658.58,290483.23,240145.19
2015-10-30,8.6,9.48,8.89,8.46,375532.31,0.04,0.45,8.384,8.103,7.828,347263.95,291574.92,232547.69
2015-10-29,8.26,9.18,8.85,8.2,418588.88,0.44,5.23,8.182,7.999,7.739,318854.3,273397.77,217124.87
2015-10-28,7.82,8.58,8.41,7.72,531565.75,0.61,7.82,7.944,7.892,7.647,271477.34,252255.61,200907.11
2015-10-27,7.95,7.95,7.8,7.48,191108.2,-0.17,-2.13,7.756,7.802,7.586,226082.36,219041.01,180506.87
2015-10-26,7.96,8.13,7.97,7.81,219524.59,0.09,1.14,7.81,7.805,7.544,227307.89,222027.31,177183.15
2015-10-23,7.72,7.95,7.88,7.65,233484.09,0.22,2.87,7.822,7.794,7.501,235885.9,246292.86,174608.27
